iter	Passed	Remaining
1039	10579	4679
1040	10588	4668
1041	10597	4657
1042	10606	4647
1043	10621	4639
1044	10636	4631
1045	10645	4620
1046	10655	4610
1047	10663	4599
1048	10672	4588
1049	10680	4577
1050	10689	4566
1051	10698	4555
1052	10707	4545
1053	10715	4534
1054	10724	4523
1055	10733	4512
1056	10741	4501
1057	10750	4491
1058	10759	4480
1059	10767	4469
1060	10776	4458
1061	10785	4448
1062	10793	4437
1063	10803	4427
1064	10813	4416
1065	10822	4406
1066	10832	4395
1067	10841	4385
1068	10850	4374
1069	10861	4364
1070	10869	4353
1071	10877	4342
1072	10886	4332
1073	10896	4322
1074	10904	4311
1075	10913	4300
1076	10921	4289
1077	10930	4279
1078	10939	4268
1079	10947	4257
1080	10956	4246
1081	10965	4236
1082	10974	4225
1083	10983	4214
1084	10992	4204
1085	11039	4208
1086	11063	4203
1087	11076	4194
1088	11086	4184
1089	11096	4173
1090	11104	4162
1091	11113	4152
1092	11121	4141
1093	11131	4130
1094	11139	4120
1095	11148	4109
1096	11157	4098
1097	11168	4089
1098	11184	4080
1099	11201	4073
1100	11213	4063
1101	11225	4054
1102	11237	4044
1103	11246	4033
1104	11255	4023
1105	11263	4012
1106	11272	4001
1107	11280	3991
1108	11289	3980
1109	11297	3969
1110	11306	3958
1111	11315	3948
1112	11325	3937
1113	11333	3927
1114	11342	3916
1115	11351	3905
1116	11360	3895
1117	11368	3884
1118	11377	3873
1119	11385	3863
1120	11395	3852
1121	11405	3842
1122	11427	3836
1123	11438	3826
1124	11446	3815
1125	11455	3805
1126	11464	3794
1127	11473	3783
1128	11482	3773
1129	11490	3762
1130	11499	3751
1131	11508	3741
1132	11517	3730
1133	11525	3719
1134	11535	3709
1135	11543	3698
1136	11553	3688
1137	11561	3677
1138	11572	3667
1139	11581	3657
1140	11589	3646
1141	11598	3636
1142	11606	3625
1143	11615	3614
1144	11623	3603
1145	11633	3593
1146	11641	3582
1147	11650	3572
1148	11658	3561
1149	11666	3550
1150	11675	3540
1151	11684	3529
1152	11693	3519
1153	11701	3508
1154	11710	3497
1155	11719	3487
1156	11727	3476
1157	11736	3466
1158	11744	3455
1159	11754	3445
1160	11763	3434
1161	11772	3424
1162	11782	3414
1163	11791	3403
1164	11799	3392
1165	11808	3382
1166	11817	3371
1167	11826	3361
1168	11834	3350
1169	11843	3340
1170	11851	3329
1171	11860	3319
1172	11868	3308
1173	11911	3307
1174	11928	3299
1175	11938	3289
1176	11951	3279
1177	11967	3271
1178	11978	3261
1179	11986	3250
1180	11996	3240
1181	12005	3229
1182	12013	3219
1183	12022	3208
1184	12031	3198
1185	12040	3187
1186	12048	3177
1187	12058	3166
1188	12067	3156
1189	12075	3145
1190	12084	3135
1191	12093	3124
1192	12102	3114
1193	12110	3103
1194	12120	3093
1195	12128	3082
1196	12137	3072
1197	12145	3061
1198	12154	3051
1199	12162	3040
1200	12173	3030
1201	12189	3022
1202	12198	3011
1203	12211	3002
1204	12220	2991
1205	12228	2981
1206	12237	2970
1207	12246	2960
1208	12281	2956
1209	12294	2946
1210	12304	2936
1211	12312	2925
1212	12323	2915
1213	12341	2907
1214	12354	2898
1215	12365	2888
1216	12375	2877
1217	12387	2867
1218	12395	2857
1219	12404	2847
1220	12414	2836
1221	12422	2826
1222	12431	2815
1223	12439	2804
1224	12448	2794
1225	12456	2783
1226	12465	2773
1227	12473	2762
1228	12481	2752
1229	12489	2741
1230	12499	2731
1231	12507	2720
1232	12516	2710
1233	12524	2699
1234	12534	2689
1235	12544	2679
1236	12553	2668
1237	12562	2658
1238	12571	2648
1239	12580	2637
1240	12588	2627
1241	12598	2617
1242	12607	2606
1243	12615	2596
1244	12624	2585
1245	12632	2575
1246	12640	2564
1247	12648	2554
1248	12657	2543
1249	12666	2533
1250	12675	2522
1251	12683	2512
1252	12692	2502
1253	12702	2491
1254	12713	2481
1255	12722	2471
1256	12733	2461
1257	12764	2455
1258	12792	2448
1259	12805	2439
1260	12821	2430
1261	12832	2420
1262	12841	2409
1263	12850	2399
1264	12859	2389
1265	12869	2378
1266	12878	2368
1267	12887	2357
1268	12896	2347
1269	12906	2337
1270	12917	2327
1271	12927	2317
1272	12937	2306
1273	12947	2296
1274	12956	2286
1275	12966	2276
1276	12975	2265
1277	12984	2255
1278	12993	2245
1279	13002	2234
1280	13010	2224
1281	13020	2214
1282	13029	2203
1283	13038	2193
1284	13047	2183
1285	13056	2172
1286	13065	2162
1287	13074	2152
1288	13083	2141
1289	13092	2131
1290	13101	2121
1291	13110	2110
1292	13126	2101
1293	13136	2091
1294	13144	2080
1295	13153	2070
1296	13162	2060
1297	13170	2049
1298	13179	2039
1299	13187	2028
1300	13195	2018
1301	13203	2007
1302	13211	1997
1303	13219	1987
1304	13229	1976
1305	13237	1966
1306	13247	1956
1307	13255	1945
1308	13262	1935
1309	13271	1924
1310	13281	1914
1311	13291	1904
1312	13300	1894
1313	13309	1883
1314	13317	1873
1315	13325	1863
1316	13333	1852
1317	13342	1842
1318	13350	1832
1319	13368	1823
1320	13381	1813
1321	13394	1803
1322	13403	1793
1323	13415	1783
1324	13425	1773
1325	13434	1762
1326	13443	1752
1327	13451	1742
1328	13460	1731
1329	13469	1721
1330	13511	1715
1331	13537	1707
1332	13551	1697
1333	13564	1687
1334	13575	1677
1335	13583	1667
1336	13592	1657
1337	13600	1646
1338	13609	1636
1339	13617	1625
1340	13626	1615
1341	13634	1605
1342	13644	1595
1343	13653	1584
1344	13662	1574
1345	13672	1564
1346	13681	1554
1347	13691	1543
1348	13700	1533
1349	13709	1523
1350	13718	1512
1351	13726	1502
1352	13734	1492
1353	13743	1481
1354	13752	1471
1355	13760	1461
1356	13769	1451
1357	13778	1440
1358	13787	1430
1359	13795	1420
1360	13803	1409
1361	13812	1399
1362	13820	1389
1363	13829	1378
1364	13838	1368
1365	13847	1358
1366	13855	1348
1367	13864	1337
1368	13874	1327
1369	13883	1317
1370	13891	1307
1371	13901	1296
1372	13909	1286
1373	13920	1276
1374	13928	1266
1375	13937	1255
1376	13946	1245
1377	13954	1235
1378	13963	1225
1379	13971	1214
1380	13980	1204
1381	13988	1194
1382	13996	1184
1383	14005	1173
1384	14015	1163
1385	14024	1153
1386	14032	1143
1387	14040	1132
1388	14050	1122
1389	14059	1112
1390	14074	1102
1391	14086	1092
1392	14095	1082
1393	14103	1072
1394	14112	1062
1395	14121	1052
1396	14130	1041
1397	14139	1031
1398	14148	1021
1399	14156	1011
1400	14165	1000
1401	14173	990
1402	14182	980
1403	14192	970
1404	14200	960
1405	14210	950
1406	14219	939
1407	14228	929
1408	14236	919
1409	14245	909
1410	14254	899
1411	14264	889
1412	14275	878
1413	14284	868
1414	14293	858
1415	14302	848
1416	14315	838
1417	14328	828
1418	14339	818
1419	14351	808
1420	14362	798
1421	14373	788
1422	14382	778
1423	14393	768
1424	14402	758
1425	14410	747
1426	14420	737
1427	14430	727
1428	14440	717
1429	14450	707
1430	14506	699
1431	14518	689
1432	14532	679
1433	14544	669
1434	14555	659
1435	14564	649
1436	14573	638
1437	14585	628
1438	14594	618
1439	14603	608
1440	14611	598
1441	14621	588
1442	14631	577
1443	14641	567
1444	14652	557
1445	14662	547
1446	14677	537
1447	14686	527
1448	14695	517
1449	14703	507
1450	14712	496
1451	14721	486
1452	14730	476
1453	14738	466
1454	14748	456
1455	14757	445
1456	14766	435
1457	14775	425
1458	14784	415
1459	14793	405
1460	14801	395
1461	14810	384
1462	14819	374
1463	14830	364
1464	14851	354
1465	14861	344
1466	14869	334
1467	14878	324
1468	14887	314
1469	14897	304
1470	14905	293
1471	14914	283
1472	14923	273
1473	14932	263
1474	14941	253
1475	14949	243
1476	14960	232
1477	14968	222
1478	14977	212
1479	14987	202
1480	14997	192
1481	15008	182
1482	15018	172
1483	15028	162
1484	15037	151
1485	15046	141
1486	15056	131
1487	15065	121
1488	15075	111
1489	15083	101
1490	15092	91
1491	15100	80
1492	15109	70
1493	15117	60
1494	15126	50
1495	15134	40
1496	15143	30
1497	15151	20
1498	15160	10
1499	15170	0
